topic_id,words,scores
89,"['experience', 'gameplay', 'depth', 'offer', 'mechanic', 'challenge', 'engaging', 'genre', 'narrative', 'overall']","[0.034346074, 0.030068845, 0.021829503, 0.019117229, 0.01903659, 0.018189719, 0.017417656, 0.016423078, 0.016066322, 0.01258928]"
90,"['point', 'tedious', 'click', 'memory', 'obviously', 'pack', 'phase', 'task', 'teleport', 'goat']","[0.18985191, 0.11227301, 0.100111224, 0.051095307, 0.031344242, 0.029699586, 0.027927568, 0.025677629, 0.024108581, 0.023460293]"
91,"['anyone', 'couple', 'week', 'highly', 'gave', 'spending', 'wow', 'enjoyment', 'within', 'like']","[0.19123001, 0.077233136, 0.068497434, 0.060225178, 0.056993593, 0.056721874, 0.048355285, 0.042620063, 0.038121305, 0.036591034]"
92,"['fantastic', 'controller', 'sword', 'quit', 'doubt', 'tho', 'using', 'animation', 'name', 'three']","[0.23278053, 0.11287592, 0.05323854, 0.0511524, 0.045495514, 0.045239024, 0.042481337, 0.042471413, 0.03988912, 0.0378283]"
93,"['bethesda', 'wonderful', 'hasnt', 'que', 'sadly', 'skin', 'sitting', 'addicted', 'shouldve', 'treat']","[0.16604598, 0.12921172, 0.077687025, 0.06883483, 0.05952478, 0.04092297, 0.03808117, 0.03200074, 0.026162205, 0.025820298]"
94,"['boring', 'nothing', 'forever', 'low', 'gun', 'empty', 'gameplay', 'dull', 'camera', 'useless']","[0.23875488, 0.13898665, 0.038900618, 0.026924876, 0.026733777, 0.024963273, 0.0222775, 0.02165215, 0.020926535, 0.02024692]"
95,"['soul', 'dark', 'difficult', 'online', 'tool', 'log', 'scenario', 'installed', 'installing', 'difficulty']","[0.36883575, 0.20954932, 0.1064212, 0.07542581, 0.024692317, 0.024334027, 0.01606912, 0.015356241, 0.014756422, 0.012558048]"
96,"['cool', 'hand', 'awful', 'theyre', 'creation', 'dog', 'table', 'beating', 'process', 'talking']","[0.23928483, 0.110532306, 0.10862852, 0.0631846, 0.055084478, 0.04736393, 0.046013545, 0.045047827, 0.04024084, 0.03388275]"
97,"['another', 'reason', 'cause', 'guess', 'thanks', 'ten', 'dumb', 'lie', 'join', 'remove']","[0.20072016, 0.111841075, 0.08375116, 0.08062994, 0.073951416, 0.042080548, 0.03237367, 0.025016073, 0.020193199, 0.01979982]"
98,"['rpg', 'choice', 'action', 'rpgs', 'matter', 'person', 'actual', 'element', 'genuinely', 'type']","[0.23025064, 0.110907905, 0.07229651, 0.0681801, 0.06726669, 0.044007305, 0.035543863, 0.03126339, 0.028011888, 0.02359333]"
99,"['physical', 'several', 'pure', 'install', 'round', 'available', 'git', 'optional', 'fault', 'holding']","[0.06946165, 0.067029245, 0.04507079, 0.037596576, 0.036761306, 0.03531661, 0.03153285, 0.029249236, 0.029103486, 0.021891454]"
